Record,Location,X,Y,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
6018,HERON RD WB btwn HERON RD WB OFF RAMP/VINCENT MASSEY PARK & RIVERSIDE ,368021.8238,5026636.578,2/13/16,9:18,01 - Clear,05 - Packed snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6019,HERON RD WB btwn PRINCE OF WALES DR & HERON RD WB ON RAMP/VINCENT MASS,367168.8018,5026488.542,10/6/16,16:47,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6020,HERON RD WB btwn PRINCE OF WALES DR & HERON RD WB ON RAMP/VINCENT MASS,367075.5186,5026474.436,3/24/16,20:35,04 - Freezing Rain,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,04 - Sideswipe
6021,HERON RD WB btwn RIVERSIDE DR & BRONSON AVE RAMP 36,368414.0953,5026682.745,11/15/16,12:40,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6022,HERON RD WB btwn RIVERSIDE DR & BRONSON AVE RAMP 36,368320.6908,5026669.167,9/7/16,17:22,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6023,HERWIG PL btwn FIREFLY LANE & END,369561.3973,5009293.885,1/29/16,3:00,03 - Snow,03 - Loose snow,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,07 - SMV other
6024,HERZBERG RD @ CARLING AVE,352037.3927,5022300.493,8/17/16,17:40,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6025,HERZBERG RD @ CARLING AVE,352036.9382,5022300.038,8/2/16,7:45,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6026,HERZBERG RD @ CARLING AVE,352038.3979,5022300.833,6/15/16,17:43,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6027,HERZBERG RD @ CARLING AVE,352039.2763,5022300.079,11/30/16,6:00,"07 - Fog, mist, smoke, dust",02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
6028,HERZBERG RD @ MARCH RD,352323.9936,5021528.557,4/15/16,14:56,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe
6029,HERZBERG RD @ MARCH RD,352324.4504,5021528.074,12/20/16,3:03,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other
6030,HERZBERG RD @ MARCH RD,352323.4027,5021527.83,1/18/16,17:51,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
6031,HERZBERG RD @ MARCH RD,352324.569,5021529.198,12/8/16,19:15,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
6032,HERZBERG RD @ MARCH RD,352321.9659,5021530.559,2/13/16,13:29,03 - Snow,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6033,HERZBERG RD btwn LEGGET DR & CARLING AVE,351995.384,5022395.317,12/1/16,12:37,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6034,HIGH RD btwn EARL ARMSTRONG RD & ALBION RD,374447.8309,5017837.582,12/5/16,7:37,03 - Snow,05 - Packed snow,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,01 - Approaching
6035,HIGHBURY PARK DR @ LONGFIELDS DR,364162.5328,5015915.687,12/15/16,8:57,01 - Clear,03 - Loose snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
6036,HIGHBURY PARK DR @ VIA VERONA AVE/COLINDALE AVE,364016.746,5015829.323,9/20/16,3:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
6037,HIGHCROFT AVE btwn KENWOOD AVE & CLARE ST,363489.7287,5027885.096,8/17/16,0:00,00 - Unknown,99 - Other,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
6038,HIGHGATE RD btwn WESTBURY RD & BASELINE RD,362041.3908,5023501.436,1/22/16,17:16,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,05 - Dusk,03 - P.D. only,05 - Turning movement
6039,HIGHLAND AVE @ PRINCETON AVE,362923.4654,5027492.841,12/21/16,11:15,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
6040,HIGHLAND TER @ SMYTH RD,371357.5739,5029162.553,11/9/16,15:11,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6041,HIGHWAY 17 btwn OTTAWA ROAD 29 & Continuation of HIGHWAY 17,318992.477,5031694.041,2/2/16,17:31,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6042,HIGHWAY 17 btwn THOMAS ELLIOT RD & GALETTA SIDE RD,321696.2004,5029916.272,3/7/16,10:05,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6043,HIGHWAY 416 btwn HIGHWAY 416 & HWY416 IC57 RAMP52,364708.4615,5008117.791,8/18/16,8:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6044,HIGHWAY 416 btwn HIGHWAY 416 & HWY416 IC57 RAMP52,364735.2033,5008073.083,11/20/16,17:18,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,04 - Sideswipe
6045,HIGHWAY 416 btwn HIGHWAY 416 & HWY416 IC57 RAMP52,364732.5493,5008073.204,7/16/16,12:05,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6046,HIGHWAY 416 btwn HIGHWAY 416 & HWY416 IC57 RAMP53,364739.4878,5008005.498,7/14/16,9:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6047,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,372494.2941,4994086.231,8/11/16,10:15,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other
6048,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,371963.0286,4994332.762,12/30/16,0:17,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6049,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371458.4074,4995147.079,7/13/16,16:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,01 - Approaching
6050,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371457.7561,4995147.066,12/13/16,3:15,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6051,HIGHWAY 416 btwn HWY416 IC49 RAMP24 & HWY416 IC42 RAMP42,369698.7043,4998759.193,6/23/16,0:08,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6052,HIGHWAY 416 btwn HWY416 IC49 RAMP34 & HWY416 IC49 RAMP43,369201.0408,5001047.835,4/6/16,15:40,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6053,HIGHWAY 416 btwn HWY416 IC49 RAMP34 & HWY416 IC49 RAMP43,369221.7206,5000984.452,6/17/16,22:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6054,HIGHWAY 416 btwn HWY416 IC49 RAMP34 & HWY416 IC49 RAMP43,369213.3106,5001008.686,4/17/16,20:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6055,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369254.7412,5000972.124,4/3/16,14:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6056,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369247.2708,5000999.768,4/6/16,23:32,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6057,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369273.8083,5000911.864,3/24/16,18:50,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,07 - SMV other
6058,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369243.2868,5001013.475,7/12/16,8:10,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6059,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369675.5517,4998834.871,4/12/16,1:27,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6060,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369671.3743,4998819.882,2/29/16,8:46,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6061,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369676.949,4998839.78,4/22/16,0:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6062,HIGHWAY 416 btwn HWY416 IC57 RAMP34 & HWY416 IC57 RAMP43,364716.0164,5008048.848,1/13/16,10:00,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6063,HIGHWAY 416 btwn HWY416 IC57 RAMP34 & HWY416 IC57 RAMP43,364648.5557,5008151.779,12/20/16,18:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6064,HIGHWAY 416 btwn HWY416 IC57 RAMP53 & HWY416 IC49 RAMP34,365731.106,5006329.77,2/20/16,6:38,02 - Rain,04 - Slush,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6065,HIGHWAY 416 btwn HWY416 IC57 RAMP53 & HWY416 IC49 RAMP34,365720.9603,5006345.656,12/7/16,10:34,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6066,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,360929.7469,5013049.171,2/13/16,8:38,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe
6067,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363806.6584,5009899.141,2/4/16,20:03,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6068,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,360930.2761,5013045.335,2/13/16,8:17,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6069,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363797.2076,5009912.145,7/9/16,21:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,07 - SMV other
6070,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363812.4077,5009879.397,5/22/16,19:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6071,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363808.7032,5009886.563,5/31/16,3:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6072,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,360962.4261,5012995.988,9/4/16,14:52,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6073,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363747.5013,5010003.916,10/9/16,10:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6074,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC66 RAMP63,359902.4984,5014987.587,12/26/16,15:00,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6075,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,359833.8814,5017249.008,1/10/16,2:25,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6076,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,359832.0448,5017261.864,5/30/16,23:40,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,"08 - Dark, artificial",03 - P.D. only,07 - SMV other
6077,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360098.4464,5014739.905,4/30/16,10:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6078,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360069.8019,5014785.917,1/10/16,10:40,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6079,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360083.8561,5014764.917,1/24/16,19:42,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6080,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360199.4184,5014590.996,12/31/16,11:20,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6081,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363760.2589,5009910.234,2/29/16,7:30,04 - Freezing Rain,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6082,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363751.1657,5009948.998,2/3/16,9:45,02 - Rain,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6083,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363754.6638,5009921.488,6/17/16,6:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6084,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363760.615,5009917.496,8/2/16,18:10,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6085,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361069.5707,5012618.374,12/21/16,21:35,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6086,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361111.9041,5012527.357,12/23/16,14:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6087,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360050.5069,5014816.33,4/4/16,21:38,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6088,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360038.6958,5014839.258,2/4/16,21:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6089,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360048.3666,5014825.691,6/6/16,19:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6090,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360053.9873,5014815.809,7/20/16,19:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6091,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360052.5913,5014817.025,3/24/16,23:30,04 - Freezing Rain,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6092,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360042.8644,5014835.784,2/29/16,22:31,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6093,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360311.1902,5017866.747,1/12/16,15:10,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6094,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359590.4004,5019432.969,5/18/16,10:38,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6095,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359585.8241,5019432.927,12/6/16,10:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6096,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360295.0503,5017785.888,1/12/16,15:30,03 - Snow,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6097,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359590.5161,5019434.539,9/30/16,7:33,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6098,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360328.6035,5018110.898,12/18/16,1:21,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6099,HIGHWAY 416 btwn HWY416 IC72 RAMP34 & HWY416 IC72 RAMP63,359532.0594,5019473.745,2/3/16,9:58,04 - Freezing Rain,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6100,HIGHWAY 416 btwn HWY416 IC72 RAMP34 & HWY416 IC72 RAMP63,359525.7862,5019483.782,2/25/16,2:35,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,"08 - Dark, artificial",03 - P.D. only,07 - SMV other
6101,HIGHWAY 416 btwn HWY416 IC72 RAMP34 & HWY416 IC72 RAMP63,359399.7686,5019703.604,3/24/16,19:55,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6102,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359568.9146,5019469.275,2/27/16,7:39,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,99 - Other
6103,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359559.0343,5019486.918,6/8/16,20:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6104,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359558.407,5019488.8,4/6/16,14:49,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6105,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359559.9095,5019487.828,6/20/16,4:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6106,HIGHWAY 416 btwn HWY416 IC72 RAMP63 & HWY416 IC72 RAMP53,359561.5436,5019421.05,5/30/16,16:55,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6107,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,359185.6666,5020905.965,10/18/16,7:35,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
6108,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,359181.2865,5020917.616,8/30/16,7:55,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other
6109,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,359178.4406,5020926.385,12/4/16,5:30,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,"08 - Dark, artificial",03 - P.D. only,07 - SMV other
6110,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,358949.3015,5021513.895,12/22/16,9:40,03 - Snow,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6111,HIGHWAY 416 btwn HWY416 IC75A RAMP43 & HWY416 IC72 RAMP34,358779.6138,5021795.021,12/5/16,13:50,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6112,HIGHWAY 416 btwn HWY416 IC75B RAMP25 & HWY416 IC75A RAMP26,358659.6831,5022174.952,7/28/16,9:41,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6113,HIGHWAY 416 btwn HWY416 IC75B RAMP25 & HWY416 IC75A RAMP26,358653.5159,5022181.401,1/3/16,7:35,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6114,HIGHWAY 416 btwn HWY416 IC75B RAMP25 & HWY416 IC75A RAMP26,358733.7122,5021993.561,2/21/16,7:55,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6115,HIGHWAY 416 btwn HWY417 IC131 RAMP53 & HWY416 IC75A RAMP43,358575.9484,5022167.958,8/28/16,21:20,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6116,HIGHWAY 417 @ HWY 417 INNES IC112R66,374256.8278,5031106.445,9/2/16,15:55,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6117,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,355283.8206,5021574.718,9/15/16,7:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6118,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,354292.8026,5020983.338,2/11/16,7:41,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6119,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,355587.9805,5021745.208,8/12/16,10:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6120,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,355816.281,5021882.524,9/29/16,8:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6121,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,355802.4746,5021867.814,12/17/16,6:34,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6122,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,355098.5904,5021470.919,9/15/16,7:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6123,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,353738.2676,5020665.579,3/24/16,16:42,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6124,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347378.0682,5015845.84,2/24/16,22:30,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,"08 - Dark, artificial",02 - Non-fatal injury,07 - SMV other
6125,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347333.0236,5015813.544,12/14/16,21:40,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6126,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347367.1907,5015835.68,2/15/16,16:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6127,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347355.2699,5015827.383,2/16/16,16:35,03 - Snow,05 - Packed snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other
6128,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347354.401,5015825.646,2/6/16,18:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,03 - Rear end
6129,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347378.729,5015844.717,7/3/16,17:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other
6130,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347371.7781,5015837.81,2/20/16,6:30,02 - Rain,04 - Slush,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6131,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347378.0682,5015844.362,3/19/16,23:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,"08 - Dark, artificial",03 - P.D. only,07 - SMV other
6132,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC144 RAMP16,347370.583,5015837.704,6/29/16,0:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
